         4529737 function calls (4520266 primitive calls) in 10.091 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4697    0.001    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:209(classes)
  480/456    0.001    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\spines.py:436(get_spine_transform)
      192    0.001    0.000    0.006    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\ticker.py:1889(_staircase)
       96    0.001    0.000    0.005    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\ticker.py:1870(_validate_steps)
      300    0.001    0.000    0.024    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\blocks.py:2810(f)
       34    0.001    0.000    0.135    0.004 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\managers.py:2019(concatenate_block_managers)
      820    0.001    0.000    0.011    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\fromnumeric.py:2083(any)
      776    0.001    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\shape_base.py:83(atleast_2d)
      198    0.001    0.000    0.004    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\lib\shape_base.py:599(column_stack)
      300    0.001    0.000    0.020    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\cast.py:799(soft_convert_objects)
     1150    0.001    0.000    0.005    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\contextlib.py:157(helper)
      125    0.001    0.000    0.001    0.000 {built-in method pandas._libs.missing.isnaobj}
     1689    0.001    0.000    0.001    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      869    0.001    0.000    0.004    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:508(is_datetime64_dtype)
       96    0.001    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\lib\function_base.py:1149(diff)
     1346    0.001    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:2020(pandas_dtype)
      848    0.001    0.000    0.007    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:123(invalidate)
